eva,pc,var,pfr.kgr,psr.kgr,par.kgr,pfa.kgr,psa.kgr,paa.kgr,L de raices.km,dano
1,enfermo,antillano,0.0232,0.0144,0.0088,0.0388,0.0234,0.0154,0.91511,0.55
1,enfermo,antillano,0.0228,0.0152,0.0076,0.0558,0.0346,0.0212,1.29045,0.5
1,enfermo,antillano,0.0158,0.0124,0.0034,0.0616,0.0244,0.0372,0.7223,0.35
1,enfermo,antillano,0.016,0.0121,0.0039,0.0608,0.0268,0.034,0.51766,0.4
1,enfermo,antillano,0.0306,0.0198,0.0108,0.0908,0.0356,0.0552,1.43885,0.25
1,enfermo,antillano,0.025,0.0168,0.0082,0.0828,0.0323,0.0505,1.48477,0.15
1,enfermo,mexicano,0.0198,0.0168,0.003,0.0622,0.0277,0.0345,1.30284,0.05
1,enfermo,mexicano,0.0218,0.0175,0.0043,0.0628,0.0275,0.0353,1.33698,0.15
1,enfermo,mexicano,0.0188,0.0158,0.003,0.0654,0.0303,0.0351,1.29848,0.2
1,enfermo,mexicano,0.0178,0.0153,0.0025,0.064,0.0284,0.0356,1.09423,0.05
1,enfermo,mexicano,0.0145,0.0135,0.001,0.0428,0.0225,0.0203,1.2869,0.05
1,enfermo,mexicano,0.0186,0.0164,0.0022,0.0553,0.0263,0.029,1.47851,0.05
1,enfermo,zutano,0.0238,0.0154,0.0084,0.0875,0.0347,0.0528,1.51799,0.15
1,enfermo,zutano,0.0193,0.0133,0.006,0.0784,0.0336,0.0448,0.77776,0.1
1,enfermo,zutano,0.0188,0.0134,0.0054,0.0758,0.0318,0.044,1.15971,0.05
1,enfermo,zutano,0.0181,0.0123,0.0058,0.057,0.0268,0.0302,0.38838,0.4
1,enfermo,zutano,0.0173,0.013,0.0043,0.0748,0.0325,0.0423,1.20514,0.05
1,enfermo,zutano,0.0208,0.0156,0.0052,0.0938,0.0394,0.0544,1.08165,0.25
1,enfermo,nabal,0.0293,0.0173,0.012,0.0762,0.0303,0.0459,1.6145,0.25
1,enfermo,nabal,0.0354,0.0174,0.018,0.0885,0.0348,0.0537,1.81419,0.15
1,enfermo,nabal,0.0351,0.0176,0.0175,0.0902,0.0338,0.0564,1.68572,0.1
1,enfermo,nabal,0.0315,0.0176,0.0139,0.1131,0.0415,0.0716,2.05024,0.15
1,enfermo,nabal,0.0301,0.0175,0.0126,0.0704,0.0286,0.0418,1.73992,0.05
1,enfermo,nabal,0.033,0.015,0.018,0.0918,0.0394,0.0524,0.7564,0.2
1,sano,antillano,0.0408,0.0192,0.0216,0.0973,0.037,0.0603,1.53974,0
